,Session Title/Poster Group,Poster #,Presentation Time,Title,Author(s),Paper ID
365,,61,15:20,Pyramid Feature Attention Network for Saliency Detection,Ting Zhao; Xiangqian Wu,1642
366,,62,15:20,Co-Saliency Detection via Mask-Guided Fully Convolutional Networks With Multi-Scale Label Smoothing,Kaihua Zhang; Tengpeng Li; Bo Liu; Qingshan Liu,1682
367,,63,15:20,SAIL-VOS: Semantic Amodal Instance Level Video Object Segmentation – A Synthetic Dataset and Baselines,Yuan-Ting Hu; Hong-Shuo Chen; Kexin Hui; Jia-Bin Huang; Alexander G. Schwing,1750
368,,64,15:20,Learning Instance Activation Maps for Weakly Supervised Instance Segmentation,Yi Zhu; Yanzhao Zhou; Huijuan Xu; Qixiang Ye; David Doermann; Jianbin Jiao,1798
369,,65,15:20,Decoders Matter for Semantic Segmentation: Data-Dependent Decoding Enables Flexible Feature Aggregation,Zhi Tian; Tong He; Chunhua Shen; Youliang Yan,1970
370,,66,15:20,Box-Driven Class-Wise Region Masking and Filling Rate Guided Loss for Weakly Supervised Semantic Segmentation,Chunfeng Song; Yan Huang; Wanli Ouyang; Liang Wang,1998
371,,67,15:20,Dual Attention Network for Scene Segmentation,Jun Fu; Jing Liu; Haijie Tian; Yong Li; Yongjun Bao; Zhiwei Fang; Hanqing Lu,2137
372,"Statistics, Physics, Theory, & Datasets",68,15:20,InverseRenderNet: Learning Single Image Inverse Rendering,Ye Yu; William A. P. Smith,1444
373,,69,15:20,A Variational Auto-Encoder Model for Stochastic Point Processes,Nazanin Mehrasa; Akash Abdu Jyothi; Thibaut Durand; Jiawei He; Leonid Sigal; Greg Mori,1470
374,,70,15:20,Unifying Heterogeneous Classifiers With Distillation,Jayakorn Vongkulbhisal; Phongtharin Vinayavekhin; Marco Visentini-Scarzanella,1558
375,,71,15:20,Assessment of Faster R-CNN in Man-Machine Collaborative Search,Arturo Deza; Amit Surana; Miguel P. Eckstein,1606
376,,72,15:20,OK-VQA: A Visual Question Answering Benchmark Requiring External Knowledge,Kenneth Marino; Mohammad Rastegari; Ali Farhadi; Roozbeh Mottaghi,1758
377,,73,15:20,NDDR-CNN: Layerwise Feature Fusing in Multi-Task CNNs by Neural Discriminative Dimensionality Reduction,Yuan Gao; Jiayi Ma; Mingbo Zhao; Wei Liu; Alan L. Yuille,1835
378,,74,15:20,Spectral Metric for Dataset Complexity Assessment,Frédéric Branchaud-Charron; Andrew Achkar; Pierre-Marc Jodoin,1932
379,,75,15:20,ADCrowdNet: An Attention-Injective Deformable Convolutional Network for Crowd Understanding,Ning Liu; Yongchao Long; Changqing Zou; Qun Niu; Li Pan; Hefeng Wu,1994
380,,76,15:20,VERI-Wild: A Large Dataset and a New Method for Vehicle Re-Identification in the Wild,Yihang Lou; Yan Bai; Jun Liu; Shiqi Wang; Lingyu Duan,2161
381,3D Multiview,77,15:20,3D Local Features for Direct Pairwise Registration,Haowen Deng; Tolga Birdal; Slobodan Ilic,109
382,,78,15:20,HPLFlowNet: Hierarchical Permutohedral Lattice FlowNet for Scene Flow Estimation on Large-Scale Point Clouds,Xiuye Gu; Yijie Wang; Chongruo Wu; Yong Jae Lee; Panqu Wang,1396
383,,79,15:20,GPSfM: Global Projective SFM Using Algebraic Constraints on Multi-View Fundamental Matrices,Yoni Kasten; Amnon Geifman; Meirav Galun; Ronen Basri,1409
384,,80,15:20,Group-Wise Correlation Stereo Network,Xiaoyang Guo; Kai Yang; Wukui Yang; Xiaogang Wang; Hongsheng Li,1410
385,,81,15:20,Multi-Level Context Ultra-Aggregation for Stereo Matching,Guang-Yu Nie; Ming-Ming Cheng; Yun Liu; Zhengfa Liang; Deng-Ping Fan; Yue Liu; Yongtian Wang,1562
386,,82,15:20,"Large-Scale, Metric Structure From Motion for Unordered Light Fields",Sotiris Nousias; Manolis Lourakis; Christos Bergeles,1781
387,,83,15:20,Understanding the Limitations of CNN-Based Absolute Camera Pose Regression,Torsten Sattler; Qunjie Zhou; Marc Pollefeys; Laura Leal-Taixé,1887
388,,84,15:20,DeepLiDAR: Deep Surface Normal Guided Depth Prediction for Outdoor Scene From Sparse LiDAR Data and Single Color Image,Jiaxiong Qiu; Zhaopeng Cui; Yinda Zhang; Xingdi Zhang; Shuaicheng Liu; Bing Zeng; Marc Pollefeys,1899
389,,85,15:20,Modeling Point Clouds With Self-Attention and Gumbel Subset Sampling,Jiancheng Yang; Qiang Zhang; Bingbing Ni; Linguo Li; Jinxian Liu; Mengdie Zhou; Qi Tian,2003
390,,86,15:20,Learning With Batch-Wise Optimal Transport Loss for 3D Shape Recognition,Lin Xu; Han Sun; Yuai Liu,2043
391,,87,15:20,DenseFusion: 6D Object Pose Estimation by Iterative Dense Fusion,Chen Wang; Danfei Xu; Yuke Zhu; Roberto Martín-Martín; Cewu Lu; Li Fei-Fei; Silvio Savarese,2066
392,3D Single View & RGBD,88,15:20,Dense Depth Posterior (DDP) From Single Image and Sparse Range,Yanchao Yang; Alex Wong; Stefano Soatto,1365
393,,89,15:20,DuLa-Net: A Dual-Projection Network for Estimating Room Layouts From a Single RGB Panorama,Shang-Ta Yang; Fu-En Wang; Chi-Han Peng; Peter Wonka; Min Sun; Hung-Kuo Chu,1441
394,,90,15:20,Veritatem Dies Aperit - Temporally Consistent Depth Prediction Enabled by a Multi-Task Geometric and Semantic Scene Understanding Approach,Amir Atapour-Abarghouei; Toby P. Breckon,1638
395,,91,15:20,Segmentation-Driven 6D Object Pose Estimation,Yinlin Hu; Joachim Hugonot; Pascal Fua; Mathieu Salzmann,1717
396,,92,15:20,Exploiting Temporal Context for 3D Human Pose Estimation in the Wild,Anurag Arnab; Carl Doersch; Andrew Zisserman,1884
397,,93,15:20,What Do Single-View 3D Reconstruction Networks Learn?,Maxim Tatarchenko; Stephan R. Richter; René Ranftl; Zhuwen Li; Vladlen Koltun; Thomas Brox,2029
398,Face & Body,94,15:20,UniformFace: Learning Deep Equidistributed Representation for Face Recognition,Yueqi Duan; Jiwen Lu; Jie Zhou,391
399,,95,15:20,Semantic Graph Convolutional Networks for 3D Human Pose Regression,Long Zhao; Xi Peng; Yu Tian; Mubbasir Kapadia; Dimitris N. Metaxas,1418
400,,96,15:20,Mask-Guided Portrait Editing With Conditional GANs,Shuyang Gu; Jianmin Bao; Hao Yang; Dong Chen; Fang Wen; Lu Yuan,1427
401,,97,15:20,Group Sampling for Scale Invariant Face Detection,Xiang Ming; Fangyun Wei; Ting Zhang; Dong Chen; Fang Wen,1477
402,,98,15:20,Joint Representation and Estimator Learning for Facial Action Unit Intensity Estimation,Yong Zhang; Baoyuan Wu; Weiming Dong; Zhifeng Li; Wei Liu; Bao-Gang Hu; Qiang Ji,1632
403,,99,15:20,Semantic Alignment: Finding Semantically Consistent Ground-Truth for Facial Landmark Detection,Zhiwei Liu; Xiangyu Zhu; Guosheng Hu; Haiyun Guo; Ming Tang; Zhen Lei; Neil M. Robertson; Jinqiao Wang,1692
404,,100,15:20,LAEO-Net: Revisiting People Looking at Each Other in Videos,Manuel J. Marín-Jiménez; Vicky Kalogeiton; Pablo Medina-Suárez; Andrew Zisserman,1725
405,,101,15:20,Robust Facial Landmark Detection via Occlusion-Adaptive Deep Networks,Meilu Zhu; Daming Shi; Mingjie Zheng; Muhammad Sadiq,1730
406,,102,15:20,Learning Individual Styles of Conversational Gesture,Shiry Ginosar; Amir Bar; Gefen Kohavi; Caroline Chan; Andrew Owens; Jitendra Malik,1766
407,,103,15:20,"Face Anti-Spoofing: Model Matters, so Does Data",Xiao Yang; Wenhan Luo; Linchao Bao; Yuan Gao; Dihong Gong; Shibao Zheng; Zhifeng Li; Wei Liu,1863
408,,104,15:20,Fast Human Pose Estimation,Feng Zhang; Xiatian Zhu; Mao Ye,1870
409,,105,15:20,Decorrelated Adversarial Learning for Age-Invariant Face Recognition,Hao Wang; Dihong Gong; Zhifeng Li; Wei Liu,2019
410,Action & Video,106,15:20,Cross-Task Weakly Supervised Learning From Instructional Videos,Dimitri Zhukov; Jean-Baptiste Alayrac; Ramazan Gokberk Cinbis; David Fouhey; Ivan Laptev; Josef Sivic,1360
411,,107,15:20,D3TW: Discriminative Differentiable Dynamic Time Warping for Weakly Supervised Action Alignment and Segmentation,Chien-Yi Chang; De-An Huang; Yanan Sui; Li Fei-Fei; Juan Carlos Niebles,1466
412,,108,15:20,Progressive Teacher-Student Learning for Early Action Prediction,Xionghui Wang; Jian-Fang Hu; Jian-Huang Lai; Jianguo Zhang; Wei-Shi Zheng,1584
413,,109,15:20,Social Relation Recognition From Videos via Multi-Scale Spatial-Temporal Reasoning,Xinchen Liu; Wu Liu; Meng Zhang; Jingwen Chen; Lianli Gao; Chenggang Yan; Tao Mei,1711
414,,110,15:20,MS-TCN: Multi-Stage Temporal Convolutional Network for Action Segmentation,Yazan Abu Farha; Jürgen Gall,1726
415,,111,15:20,Transferable Interactiveness Knowledge for Human-Object Interaction Detection,Yong-Lu Li; Siyuan Zhou; Xijie Huang; Liang Xu; Ze Ma; Hao-Shu Fang; Yanfeng Wang; Cewu Lu,1759
416,,112,15:20,Actional-Structural Graph Convolutional Networks for Skeleton-Based Action Recognition,Maosen Li; Siheng Chen; Xu Chen; Ya Zhang; Yanfeng Wang; Qi Tian,1911
417,,113,15:20,Multi-Granularity Generator for Temporal Action Proposal,Yuan Liu; Lin Ma; Yifeng Zhang; Wei Liu; Shih-Fu Chang,1995
418,Motion & Biometrics,114,15:20,Deep Rigid Instance Scene Flow,Wei-Chiu Ma; Shenlong Wang; Rui Hu; Yuwen Xiong; Raquel Urtasun,1421
419,,115,15:20,"See More, Know More: Unsupervised Video Object Segmentation With Co-Attention Siamese Networks",Xiankai Lu; Wenguan Wang; Chao Ma; Jianbing Shen; Ling Shao; Fatih Porikli,1570
420,,116,15:20,Patch-Based Discriminative Feature Learning for Unsupervised Person Re-Identification,Qize Yang; Hong-Xing Yu; Ancong Wu; Wei-Shi Zheng,1894
421,,117,15:20,SPM-Tracker: Series-Parallel Matching for Real-Time Visual Object Tracking,Guangting Wang; Chong Luo; Zhiwei Xiong; Wenjun Zeng,2104
422,Synthesis,118,15:20,Shapes and Context: In-The-Wild Image Synthesis & Manipulation,Aayush Bansal; Yaser Sheikh; Deva Ramanan,1426
423,,119,15:20,Semantics Disentangling for Text-To-Image Generation,Guojun Yin; Bin Liu; Lu Sheng; Nenghai Yu; Xiaogang Wang; Jing Shao,462
424,,120,15:20,Semantic Image Synthesis With Spatially-Adaptive Normalization,Taesung Park; Ming-Yu Liu; Ting-Chun Wang; Jun-Yan Zhu,2072
425,,121,15:20,Progressive Pose Attention Transfer for Person Image Generation,Zhen Zhu; Tengteng Huang; Baoguang Shi; Miao Yu; Bofei Wang; Xiang Bai,609
426,,122,15:20,Unsupervised Person Image Generation With Semantic Parsing Transformation,Sijie Song; Wei Zhang; Jiaying Liu; Tao Mei,3269
427,,123,15:20,DeepView: View Synthesis With Learned Gradient Descent,John Flynn; Michael Broxton; Paul Debevec; Matthew DuVall; Graham Fyffe; Ryan Overbeck; Noah Snavely; Richard Tucker,2439
428,,124,15:20,Animating Arbitrary Objects via Deep Motion Transfer,Aliaksandr Siarohin; Stéphane Lathuilière; Sergey Tulyakov; Elisa Ricci; Nicu Sebe,4908
429,,125,15:20,Textured Neural Avatars,Aliaksandra Shysheya; Egor Zakharov; Kara-Ali Aliev; Renat Bashirov; Egor Burkov; Karim Iskakov; Aleksei Ivakhnenko; Yury Malkov; Igor Pasechnik; Dmitry Ulyanov; Alexander Vakhitov; Victor Lempitsky,5428
430,,126,15:20,IM-Net for High Resolution Video Frame Interpolation,Tomer Peleg; Pablo Szekely; Doron Sabo; Omry Sendik,3190
431,,127,15:20,Homomorphic Latent Space Interpolation for Unpaired Image-To-Image Translation,Ying-Cong Chen; Xiaogang Xu; Zhuotao Tian; Jiaya Jia,1240
432,,128,15:20,Multi-Channel Attention Selection GAN With Cascaded Semantic Guidance for Cross-View Image Translation,Hao Tang; Dan Xu; Nicu Sebe; Yanzhi Wang; Jason J. Corso; Yan Yan,3069
433,,129,15:20,Geometry-Consistent Generative Adversarial Networks for One-Sided Unsupervised Domain Mapping,Huan Fu; Mingming Gong; Chaohui Wang; Kayhan Batmanghelich; Kun Zhang; Dacheng Tao,4341
434,,130,15:20,DeepVoxels: Learning Persistent 3D Feature Embeddings,Vincent Sitzmann; Justus Thies; Felix Heide; Matthias Nießner; Gordon Wetzstein; Michael Zollhöfer,3521
435,,131,15:20,Inverse Path Tracing for Joint Material and Lighting Estimation,Dejan Azinović; Tzu-Mao Li; Anton Kaplanyan; Matthias Nießner,5944
436,,132,15:20,The Visual Centrifuge: Model-Free Layered Video Representations,Jean-Baptiste Alayrac; João Carreira; Andrew Zisserman,4057
437,,133,15:20,Label-Noise Robust Generative Adversarial Networks,Takuhiro Kaneko; Yoshitaka Ushiku; Tatsuya Harada,5720
438,,134,15:20,DLOW: Domain Flow for Adaptation and Generalization,Rui Gong; Wen Li; Yuhua Chen; Luc Van Gool,5766
