,Paper ID,Title,Author(s)
185,2434,Stochastic Variational Inference With Gradient Linearization,Tobias PlÃ¶tz ; Anne S. Wannenwetsch ; Stefan Roth 
186,2486,Multi-Label Zero-Shot Learning With Structured Knowledge Graphs,Chung-Wei Lee ; Wei Fang ; Chih-Kuan Yeh ; Yu-Chiang Frank Wang 
187,2508,MorphNet: Fast & Simple Resource-Constrained Structure Learning of Deep Networks,Ariel Gordon ; Elad Eban ; Ofir Nachum ; Bo Chen ; Hao Wu ; Tien-Ju Yang ; Edward Choi 
188,2635,Deep Adversarial Subspace Clustering,Pan Zhou ; Yunqing Hou ; Jiashi Feng 
189,3145,Towards Human-Machine Cooperation: Self-Supervised Sample Mining for Object Detection,Keze Wang ; Xiaopeng Yan ; Dongyu Zhang ; Lei Zhang ; Liang Lin 
190,3264,Discrete-Continuous ADMM for Transductive Inference in Higher-Order MRFs,Emanuel Laude ; Jan-Hendrik Lange ; Jonas SchÃ¼pfer ; Csaba Domokos ; Laura Leal-TaixÃ© ; Frank R. Schmidt ; Bjoern Andres ; Daniel Cremers 
191,3407,Robust Physical-World Attacks on Deep Learning Visual Classification,Kevin Eykholt ; Ivan Evtimov ; Earlence Fernandes ; Bo Li ; Amir Rahmati ; Chaowei Xiao ; Atul Prakash ; Tadayoshi Kohno ; Dawn Song 
192,3569,Generating a Fusion Image: One's Identity and Another's Shape,DongGyu Joo ; Doyeon Kim ; Junmo Kim 
193,1757,Learning to Promote Saliency Detectors,Yu Zeng ; Huchuan Lu ; Lihe Zhang ; Mengyang Feng ; Ali Borji 
194,3225,Image Super-Resolution via Dual-State Recurrent Networks,Wei Han ; Shiyu Chang ; Ding Liu ; Mo Yu ; Michael Witbrock ; Thomas S. Huang 
195,3606,Deep Back-Projection Networks for Super-Resolution,Muhammad Haris ; Gregory Shakhnarovich ; Norimichi Ukita 
196,3869,Focus Manipulation Detection via Photometric Histogram Analysis,Can Chen ; Scott McCloskey ; Jingyi Yu 
197,4265,Compassionately Conservative Balanced Cuts for Image Segmentation,Nathan D. Cahill ; Tyler L. Hayes ; Renee T. Meinhold ; John F. Hamilton 
198,34,A High-Quality Denoising Dataset for Smartphone Cameras,Abdelrahman Abdelhamed ; Stephen Lin ; Michael S. Brown 
199,130,Context-Aware Synthesis for Video Frame Interpolation,Simon Niklaus ; Feng Liu 
200,178,Salient Object Detection Driven by Fixation Prediction,Wenguan Wang ; Jianbing Shen ; Xingping Dong ; Ali Borji 
201,493,Enhancing the Spatial Resolution of Stereo Images Using a Parallax Prior,Daniel S. Jeon ; Seung-Hwan Baek ; Inchang Choi ; Min H. Kim 
202,1083,HATS: Histograms of Averaged Time Surfaces for Robust Event-Based Object Classification,Amos Sironi ; Manuele Brambilla ; Nicolas Bourdis ; Xavier Lagorce ; Ryad Benosman 
203,1366,A Bi-Directional Message Passing Model for Salient Object Detection,Lu Zhang ; Ju Dai ; Huchuan Lu ; You He ; Gang Wang 
204,2450,Matching Pixels Using Co-Occurrence Statistics,Rotal Kat ; Roy Jevnisek ; Shai Avidan 
205,2561,SeedNet: Automatic Seed Generation With Deep Reinforcement Learning for Robust Interactive Segmentation,Gwangmo Song ; Heesoo Myeong ; Kyoung Mu Lee 
206,2767,Jerk-Aware Video Acceleration Magnification,Shoichiro Takeda ; Kazuki Okami ; Dan Mikami ; Megumi Isogai ; Hideaki Kimata 
207,2790,Defense Against Adversarial Attacks Using High-Level Representation Guided Denoiser,Fangzhou Liao ; Ming Liang ; Yinpeng Dong ; Tianyu Pang ; Xiaolin Hu ; Jun Zhu 
208,2906,Stacked Conditional Generative Adversarial Networks for Jointly Learning Shadow Detection and Shadow Removal,Jifeng Wang ; Xiang Li ; Jian Yang 
209,3141,Image Correction via Deep Reciprocating HDR Transformation,Xin Yang ; Ke Xu ; Yibing Song ; Qiang Zhang ; Xiaopeng Wei ; Rynson W.H. Lau 
210,3483,PieAPP: Perceptual Image-Error Assessment Through Pairwise Preference,Ekta Prashnani ; Hong Cai ; Yasamin Mostofi ; Pradeep Sen 
211,3695,Normalized Cut Loss for Weakly-Supervised CNN Segmentation,Meng Tang ; Abdelaziz Djelouah ; Federico Perazzi ; Yuri Boykov ; Christopher Schroers 
212,195,ISTA-Net: Interpretable Optimization-Inspired Deep Network for Image Compressive Sensing,Jian Zhang ; Bernard Ghanem 
213,542,Fast End-to-End Trainable Guided Filter,Huikai Wu ; Shuai Zheng ; Junge Zhang ; Kaiqi Huang 
214,550,Disentangling Structure and Aesthetics for Style-Aware Image Completion,Andrew Gilbert ; John Collomosse ; Hailin Jin ; Brian Price 
215,632,Learning a Discriminative Feature Network for Semantic Segmentation,Changqian Yu ; Jingbo Wang ; Chao Peng ; Changxin Gao ; Gang Yu ; Nong Sang 
216,784,Kernelized Subspace Pooling for Deep Local Descriptors,Xing Wei ; Yue Zhang ; Yihong Gong ; Nanning Zheng 
217,41,pOSE: Pseudo Object Space Error for Initialization-Free Bundle Adjustment,Je Hyeong Hong ; Christopher Zach 
218,95,Deformable Shape Completion With Graph Convolutional Autoencoders,Or Litany ; Alex Bronstein ; Michael Bronstein ; Ameesh Makadia 
219,789,Learning From Millions of 3D Scans for Large-Scale 3D Face Recognition,Syed Zulqarnain Gilani ; Ajmal Mian 
220,890,CarFusion: Combining Point Tracking and Part Detection for Dynamic 3D Reconstruction of Vehicles,N. Dinesh Reddy ; Minh Vo ; Srinivasa G. Narasimhan 
221,894,Deep Material-Aware Cross-Spectral Stereo Matching,Tiancheng Zhi ; Bernardo R. Pires ; Martial Hebert ; Srinivasa G. Narasimhan 
222,1213,Augmenting Crowd-Sourced 3D Reconstructions Using Semantic Detections,True Price ; Johannes L. SchÃ¶nberger ; Zhen Wei ; Marc Pollefeys ; Jan-Michael Frahm 
223,1524,Matryoshka Networks: Predicting 3D Geometry via Nested Shape Layers,Stephan R. Richter ; Stefan Roth 
224,1632,Triplet-Center Loss for Multi-View 3D Object Retrieval,Xinwei He ; Yang Zhou ; Zhichao Zhou ; Song Bai ; Xiang Bai 
225,1708,Learning 3D Shape Completion From Laser Scan Data With Weak Supervision,David Stutz ; Andreas Geiger 
226,2411,End-to-End Learning of Keypoint Detector and Descriptor for Pose Invariant 3D Matching,Georgios Georgakis ; Srikrishna Karanam ; Ziyan Wu ; Jan Ernst ; Jana KoÅ¡eckÃ¡ 
227,2640,"ICE-BA: Incremental, Consistent and Efficient Bundle Adjustment for Visual-Inertial SLAM",Haomin Liu ; Mingyu Chen ; Guofeng Zhang ; Hujun Bao ; Yingze Bao 
228,2819,"GeoNet: Unsupervised Learning of Dense Depth, Optical Flow and Camera Pose",Zhichao Yin ; Jianping Shi 
229,3217,Radially-Distorted Conjugate Translations,James Pritts ; Zuzana Kukelova ; Viktor Larsson ; OndÅej Chum 
230,3454,Deep Ordinal Regression Network for Monocular Depth Estimation,Huan Fu ; Mingming Gong ; Chaohui Wang ; Kayhan Batmanghelich ; Dacheng Tao 
231,3508,Analytical Modeling of Vanishing Points and Curves in Catadioptric Cameras,Pedro Miraldo ; Francisco Eiras ; Srikumar Ramalingam 
232,3838,Learning Depth From Monocular Videos Using Direct Methods,Chaoyang Wang ; JosÃ© Miguel Buenaposada ; Rui Zhu ; Simon Lucey 
233,4075,Salience Guided Depth Calibration for Perceptually Optimized Compressive Light Field 3D Display,Shizheng Wang ; Wenjuan Liao ; Phil Surman ; Zhigang Tu ; Yuanjin Zheng ; Junsong Yuan 
234,109,MegaDepth: Learning Single-View Depth Prediction From Internet Photos,Zhengqi Li ; Noah Snavely 
235,409,LayoutNet: Reconstructing the 3D Room Layout From a Single RGB Image,Chuhang Zou ; Alex Colburn ; Qi Shan ; Derek Hoiem 
236,598,CBMV: A Coalesced Bidirectional Matching Volume for Disparity Estimation,Konstantinos Batsos ; Changjiang Cai ; Philippos Mordohai 
237,1078,Zoom and Learn: Generalizing Deep Stereo Matching to Novel Domains,Jiahao Pang ; Wenxiu Sun ; Chengxi Yang ; Jimmy Ren ; Ruichao Xiao ; Jin Zeng ; Liang Lin 
238,229,Exploring Disentangled Feature Representation Beyond Face Identification,Yu Liu ; Fangyin Wei ; Jing Shao ; Lu Sheng ; Junjie Yan ; Xiaogang Wang 
239,237,Learning Facial Action Units From Web Images With Scalable Weakly Supervised Clustering,Kaili Zhao ; Wen-Sheng Chu ; Aleix M. Martinez 
240,342,Human Pose Estimation With Parsing Induced Learner,Xuecheng Nie ; Jiashi Feng ; Yiming Zuo ; Shuicheng Yan 
241,468,Multi-Level Factorisation Net for Person Re-Identification,Xiaobin Chang ; Timothy M. Hospedales ; Tao Xiang 
242,1082,Attention-Aware Compositional Network for Person Re-Identification,Jing Xu ; Rui Zhao ; Feng Zhu ; Huaming Wang ; Wanli Ouyang 
243,1330,Look at Boundary: A Boundary-Aware Face Alignment Algorithm,Wayne Wu ; Chen Qian ; Shuo Yang ; Quan Wang ; Yici Cai ; Qiang Zhou 
244,1387,Demo2Vec: Reasoning Object Affordances From Online Videos,Kuan Fang ; Te-Lin Wu ; Daniel Yang ; Silvio Savarese ; Joseph J. Lim 
245,2235,Monocular 3D Pose and Shape Estimation of Multiple People in Natural Scenes - The Importance of Multiple Scene Constraints,Andrei Zanfir ; Elisabeta Marinoiu ; Cristian Sminchisescu 
246,2240,"3D Human Sensing, Action and Emotion Recognition in Robot Assisted Therapy of Children With Autism",Elisabeta Marinoiu ; Mihai Zanfir ; Vlad Olaru ; Cristian Sminchisescu 
247,2300,Facial Expression Recognition by De-Expression Residue Learning,Huiyuan Yang ; Umur Ciftci ; Lijun Yin 
248,2628,A Causal And-Or Graph Model for Visibility Fluent Reasoning in Tracking Interacting Objects,Yuanlu Xu ; Lei Qin ; Xiaobai Liu ; Jianwen Xie ; Song-Chun Zhu 
249,2848,Weakly Supervised Facial Action Unit Recognition Through Adversarial Training,Guozhu Peng ; Shangfei Wang 
250,3646,Non-Linear Temporal Subspace Representations for Activity Recognition,Anoop Cherian ; Suvrit Sra ; Stephen Gould ; Richard Hartley 
251,216,Towards Pose Invariant Face Recognition in the Wild,Jian Zhao ; Yu Cheng ; Yan Xu ; Lin Xiong ; Jianshu Li ; Fang Zhao ; Karlekar Jayashree ; Sugiri Pranata ; Shengmei Shen ; Junliang Xing ; Shuicheng Yan ; Jiashi Feng 
252,250,Unifying Identification and Context Learning for Person Recognition,Qingqiu Huang ; Yu Xiong ; Dahua Lin 
253,285,Jointly Optimize Data Augmentation and Network Training: Adversarial Data Augmentation in Human Pose Estimation,Xi Peng ; Zhiqiang Tang ; Fei Yang ; Rogerio S. Feris ; Dimitris Metaxas 
254,574,Wing Loss for Robust Facial Landmark Localisation With Convolutional Neural Networks,Zhen-Hua Feng ; Josef Kittler ; Muhammad Awais ; Patrik Huber ; Xiao-Jun Wu 
255,721,Multiple Granularity Group Interaction Prediction,Taiping Yao ; Minsi Wang ; Bingbing Ni ; Huawei Wei ; Xiaokang Yang 
256,769,Social GAN: Socially Acceptable Trajectories With Generative Adversarial Networks,Agrim Gupta ; Justin Johnson ; Li Fei-Fei ; Silvio Savarese ; Alexandre Alahi 
257,874,Deep Group-Shuffling Random Walk for Person Re-Identification,Yantao Shen ; Hongsheng Li ; Tong Xiao ; Shuai Yi ; Dapeng Chen ; Xiaogang Wang 
258,888,Transferable Joint Attribute-Identity Deep Learning for Unsupervised Person Re-Identification,Jingya Wang ; Xiatian Zhu ; Shaogang Gong ; Wei Li 
259,908,Harmonious Attention Network for Person Re-Identification,Wei Li ; Xiatian Zhu ; Shaogang Gong 
260,1177,Real-Time Rotation-Invariant Face Detection With Progressive Calibration Networks,Xuepeng Shi ; Shiguang Shan ; Meina Kan ; Shuzhe Wu ; Xilin Chen 
261,1360,Deep Regression Forests for Age Estimation,Wei Shen ; Yilu Guo ; Yan Wang ; Kai Zhao ; Bo Wang ; Alan L. Yuille 
262,1467,Weakly-Supervised Deep Convolutional Neural Network Learning for Facial Action Unit Intensity Estimation,Yong Zhang ; Weiming Dong ; Bao-Gang Hu ; Qiang Ji 
263,1493,Memory Based Online Learning of Deep Representations From Video Streams,Federico Pernici ; Federico Bartoli ; Matteo Bruni ; Alberto Del Bimbo 
264,2457,Efficient and Deep Person Re-Identification Using Multi-Level Similarity,Yiluan Guo ; Ngai-Man Cheung 
265,2380,Multi-Level Fusion Based 3D Object Detection From Monocular Images,Bin Xu ; Zhenzhong Chen 
266,2618,A Perceptual Measure for Deep Single Image Camera Calibration,Yannick Hold-Geoffroy ; Kalyan Sunkavalli ; Jonathan Eisenmann ; Matthew Fisher ; Emiliano Gambaretto ; Sunil Hadap ; Jean-FranÃ§ois Lalonde 
267,1497,Learning to Generate Time-Lapse Videos Using Multi-Stage Dynamic Generative Adversarial Networks,Wei Xiong ; Wenhan Luo ; Lin Ma ; Wei Liu ; Jiebo Luo 
268,2447,Document Enhancement Using Visibility Detection,Netanel Kligler ; Sagi Katz ; Ayellet Tal 
269,3780,A Weighted Sparse Sampling and Smoothing Frame Transition Approach for Semantic Fast-Forward First-Person Videos,Michel Silva ; Washington Ramos ; JoÃ£o Ferreira ; Felipe Chamone ; Mario Campos ; Erickson R. Nascimento 
270,1276,Context Contrasted Feature and Gated Multi-Scale Aggregation for Scene Segmentation,Henghui Ding ; Xudong Jiang ; Bing Shuai ; Ai Qun Liu ; Gang Wang 
271,435,Deep Layer Aggregation,Fisher Yu ; Dequan Wang ; Evan Shelhamer ; Trevor Darrell 
272,1724,Convolutional Neural Networks With Alternately Updated Clique,Yibo Yang ; Zhisheng Zhong ; Tiancheng Shen ; Zhouchen Lin 
273,181,Practical Block-Wise Neural Network Architecture Generation,Zhao Zhong ; Junjie Yan ; Wei Wu ; Jing Shao ; Cheng-Lin Liu 
274,3602,xUnit: Learning a Spatial Activation Function for Efficient Image Restoration,Idan Kligvasser ; Tamar Rott Shaham ; Tomer Michaeli 
275,630,Crafting a Toolchain for Image Restoration by Deep Reinforcement Learning,Ke Yu ; Chao Dong ; Liang Lin ; Chen Change Loy 
276,2937,Deformation Aware Image Compression,Tamar Rott Shaham ; Tomer Michaeli 
277,3394,Distributable Consistent Multi-Object Matching,Nan Hu ; Qixing Huang ; Boris Thibert ; Leonidas J. Guibas 
278,1329,Residual Dense Network for Image Super-Resolution,Yulun Zhang ; Yapeng Tian ; Yu Kong ; Bineng Zhong ; Yun Fu 
279,1520,Attentive Generative Adversarial Network for Raindrop Removal From a Single Image,Rui Qian ; Robby T. Tan ; Wenhan Yang ; Jiajun Su ; Jiaying Liu 
280,1859,FSRNet: End-to-End Learning Face Super-Resolution With Facial Priors,Yu Chen ; Ying Tai ; Xiaoming Liu ; Chunhua Shen ; Jian Yang 
281,3761,Burst Denoising With Kernel Prediction Networks,Ben Mildenhall ; Jonathan T. Barron ; Jiawen Chen ; Dillon Sharlet ; Ren Ng ; Robert Carroll 
282,4304,Unsupervised Sparse Dirichlet-Net for Hyperspectral Image Super-Resolution,Ying Qu ; Hairong Qi ; Chiman Kwan 
283,1193,Dynamic Scene Deblurring Using Spatially Variant Recurrent Neural Networks,Jiawei Zhang ; Jinshan Pan ; Jimmy Ren ; Yibing Song ; Linchao Bao ; Rynson W.H. Lau ; Ming-Hsuan Yang 
284,326,SPLATNet: Sparse Lattice Networks for Point Cloud Processing,Hang Su ; Varun Jampani ; Deqing Sun ; Subhransu Maji ; Evangelos Kalogerakis ; Ming-Hsuan Yang ; Jan Kautz 
285,3318,Surface Networks,Ilya Kostrikov ; Zhongshi Jiang ; Daniele Panozzo ; Denis Zorin ; Joan Bruna 
286,3099,Self-Supervised Multi-Level Face Model Learning for Monocular Reconstruction at Over 250 Hz,Ayush Tewari ; Michael ZollhÃ¶fer ; Pablo Garrido ; Florian Bernard ; Hyeongwoo Kim ; Patrick PÃ©rez ; Christian Theobalt 
287,3124,"CodeSLAM â Learning a Compact, Optimisable Representation for Dense Visual SLAM",Michael Bloesch ; Jan Czarnowski ; Ronald Clark ; Stefan Leutenegger ; Andrew J. Davison 
288,967,SGPN: Similarity Group Proposal Network for 3D Point Cloud Instance Segmentation,Weiyue Wang ; Ronald Yu ; Qiangui Huang ; Ulrich Neumann 
289,1584,PlaneNet: Piece-Wise Planar Reconstruction From a Single RGB Image,Chen Liu ; Jimei Yang ; Duygu Ceylan ; Ersin Yumer ; Yasutaka Furukawa 
290,2565,Deep Parametric Continuous Convolutional Neural Networks,Shenlong Wang ; Simon Suo ; Wei-Chiu Ma ; Andrei Pokrovsky ; Raquel Urtasun 
291,2589,FeaStNet: Feature-Steered Graph Convolutions for 3D Shape Analysis,Nitika Verma ; Edmond Boyer ; Jakob Verbeek 
292,3025,Image Collection Pop-Up: 3D Reconstruction and Clustering of Rigid and Non-Rigid Categories,Antonio Agudo ; Melcior Pijoan ; Francesc Moreno-Noguer 
293,168,Geometry-Aware Learning of Maps for Camera Localization,Samarth Brahmbhatt ; Jinwei Gu ; Kihwan Kim ; James Hays ; Jan Kautz 
294,2058,Recurrent Slice Networks for 3D Segmentation of Point Clouds,Qiangui Huang ; Weiyue Wang ; Ulrich Neumann 
295,155,Depth-Based 3D Hand Pose Estimation: From Current Achievements to Future Goals,Shanxin Yuan ; Guillermo Garcia-Hernando ; BjÃ¶rn Stenger ; Gyeongsik Moon ; Ju Yong Chang ; Kyoung Mu Lee ; Pavlo Molchanov ; Jan Kautz ; Sina Honari ; Liuhao Ge ; Junsong Yuan ; Xinghao Chen ; Guijin Wang ; Fan Yang ; Kai Akiyama ; Yang Wu ; Qingfu Wan ; Meysam Madadi ; Sergio Escalera ; Shile Li ; Dongheui Lee ; Iason Oikonomidis ; Antonis Argyros ; Tae-Kyun Kim 
296,1101,SobolevFusion: 3D Reconstruction of Scenes Undergoing Free Non-Rigid Motion,Miroslava Slavcheva ; Maximilian Baust ; Slobodan Ilic 
297,2583,AdaDepth: Unsupervised Content Congruent Adaptation for Depth Estimation,Jogendra Nath Kundu ; Phani Krishna Uppala ; Anuj Pahuja ; R. Venkatesh Babu 
298,1453,Learning to Find Good Correspondences,Kwang Moo Yi ; Eduard Trulls ; Yuki Ono ; Vincent Lepetit ; Mathieu Salzmann ; Pascal Fua 
299,3289,OATM: Occlusion Aware Template Matching by Consensus Set Maximization,Simon Korman ; Mark Milam ; Stefano Soatto 
300,1830,Deep Learning of Graph Matching,Andrei Zanfir ; Cristian Sminchisescu 
301,932,Unsupervised Discovery of Object Landmarks as Structural Representations,Yuting Zhang ; Yijie Guo ; Yixin Jin ; Yijun Luo ; Zhiyuan He ; Honglak Lee 
302,777,Quantization and Training of Neural Networks for Efficient Integer-Arithmetic-Only Inference,Benoit Jacob ; Skirmantas Kligys ; Bo Chen ; Menglong Zhu ; Matthew Tang ; Andrew Howard ; Hartwig Adam ; Dmitry Kalenichenko 
303,1324,Lean Multiclass Crowdsourcing,Grant Van Horn ; Steve Branson ; Scott Loarie ; Serge Belongie ; Pietro Perona 
304,1363,Partial Transfer Learning With Selective Adversarial Networks,Zhangjie Cao ; Mingsheng Long ; Jianmin Wang ; Michael I. Jordan 
305,2485,Self-Supervised Feature Learning by Learning to Spot Artifacts,Simon Jenni ; Paolo Favaro 
306,3254,LDMNet: Low Dimensional Manifold Regularized Neural Networks,Wei Zhu ; Qiang Qiu ; Jiaji Huang ; Robert Calderbank ; Guillermo Sapiro ; Ingrid Daubechies 
307,3656,CondenseNet: An Efficient DenseNet Using Learned Group Convolutions,Gao Huang ; Shichen Liu ; Laurens van der Maaten ; Kilian Q. Weinberger 
308,3673,Learning Deep Descriptors With Scale-Aware Triplet Networks,Michel Keller ; Zetao Chen ; Fabiola Maffra ; Patrik Schmuck ; Margarita Chli 
309,4133,Decoupled Networks,Weiyang Liu ; Zhen Liu ; Zhiding Yu ; Bo Dai ; Rongmei Lin ; Yisen Wang ; James M. Rehg ; Le Song 
310,350,Deep Adversarial Metric Learning,Yueqi Duan ; Wenzhao Zheng ; Xudong Lin ; Jiwen Lu ; Jie Zhou 
311,1276,Context Contrasted Feature and Gated Multi-Scale Aggregation for Scene Segmentation,Henghui Ding ; Xudong Jiang ; Bing Shuai ; Ai Qun Liu ; Gang Wang 
312,435,Deep Layer Aggregation,Fisher Yu ; Dequan Wang ; Evan Shelhamer ; Trevor Darrell 
313,1724,Convolutional Neural Networks With Alternately Updated Clique,Yibo Yang ; Zhisheng Zhong ; Tiancheng Shen ; Zhouchen Lin 
314,181,Practical Block-Wise Neural Network Architecture Generation,Zhao Zhong ; Junjie Yan ; Wei Wu ; Jing Shao ; Cheng-Lin Liu 
315,3602,xUnit: Learning a Spatial Activation Function for Efficient Image Restoration,Idan Kligvasser ; Tamar Rott Shaham ; Tomer Michaeli 
316,630,Crafting a Toolchain for Image Restoration by Deep Reinforcement Learning,Ke Yu ; Chao Dong ; Liang Lin ; Chen Change Loy 
317,2937,Deformation Aware Image Compression,Tamar Rott Shaham ; Tomer Michaeli 
318,3394,Distributable Consistent Multi-Object Matching,Nan Hu ; Qixing Huang ; Boris Thibert ; Leonidas J. Guibas 
319,1329,Residual Dense Network for Image Super-Resolution,Yulun Zhang ; Yapeng Tian ; Yu Kong ; Bineng Zhong ; Yun Fu 
320,1520,Attentive Generative Adversarial Network for Raindrop Removal From a Single Image,Rui Qian ; Robby T. Tan ; Wenhan Yang ; Jiajun Su ; Jiaying Liu 
321,1859,FSRNet: End-to-End Learning Face Super-Resolution With Facial Priors,Yu Chen ; Ying Tai ; Xiaoming Liu ; Chunhua Shen ; Jian Yang 
322,3761,Burst Denoising With Kernel Prediction Networks,Ben Mildenhall ; Jonathan T. Barron ; Jiawen Chen ; Dillon Sharlet ; Ren Ng ; Robert Carroll 
323,4304,Unsupervised Sparse Dirichlet-Net for Hyperspectral Image Super-Resolution,Ying Qu ; Hairong Qi ; Chiman Kwan 
324,1193,Dynamic Scene Deblurring Using Spatially Variant Recurrent Neural Networks,Jiawei Zhang ; Jinshan Pan ; Jimmy Ren ; Yibing Song ; Linchao Bao ; Rynson W.H. Lau ; Ming-Hsuan Yang 
325,326,SPLATNet: Sparse Lattice Networks for Point Cloud Processing,Hang Su ; Varun Jampani ; Deqing Sun ; Subhransu Maji ; Evangelos Kalogerakis ; Ming-Hsuan Yang ; Jan Kautz 
326,3318,Surface Networks,Ilya Kostrikov ; Zhongshi Jiang ; Daniele Panozzo ; Denis Zorin ; Joan Bruna 
327,3099,Self-Supervised Multi-Level Face Model Learning for Monocular Reconstruction at Over 250 Hz,Ayush Tewari ; Michael ZollhÃ¶fer ; Pablo Garrido ; Florian Bernard ; Hyeongwoo Kim ; Patrick PÃ©rez ; Christian Theobalt 
328,3124,"CodeSLAM â Learning a Compact, Optimisable Representation for Dense Visual SLAM",Michael Bloesch ; Jan Czarnowski ; Ronald Clark ; Stefan Leutenegger ; Andrew J. Davison 
329,967,SGPN: Similarity Group Proposal Network for 3D Point Cloud Instance Segmentation,Weiyue Wang ; Ronald Yu ; Qiangui Huang ; Ulrich Neumann 
330,1584,PlaneNet: Piece-Wise Planar Reconstruction From a Single RGB Image,Chen Liu ; Jimei Yang ; Duygu Ceylan ; Ersin Yumer ; Yasutaka Furukawa 
331,2565,Deep Parametric Continuous Convolutional Neural Networks,Shenlong Wang ; Simon Suo ; Wei-Chiu Ma ; Andrei Pokrovsky ; Raquel Urtasun 
332,2589,FeaStNet: Feature-Steered Graph Convolutions for 3D Shape Analysis,Nitika Verma ; Edmond Boyer ; Jakob Verbeek 
333,3025,Image Collection Pop-Up: 3D Reconstruction and Clustering of Rigid and Non-Rigid Categories,Antonio Agudo ; Melcior Pijoan ; Francesc Moreno-Noguer 
334,168,Geometry-Aware Learning of Maps for Camera Localization,Samarth Brahmbhatt ; Jinwei Gu ; Kihwan Kim ; James Hays ; Jan Kautz 
335,2058,Recurrent Slice Networks for 3D Segmentation of Point Clouds,Qiangui Huang ; Weiyue Wang ; Ulrich Neumann 
336,155,Depth-Based 3D Hand Pose Estimation: From Current Achievements to Future Goals,Shanxin Yuan ; Guillermo Garcia-Hernando ; BjÃ¶rn Stenger ; Gyeongsik Moon ; Ju Yong Chang ; Kyoung Mu Lee ; Pavlo Molchanov ; Jan Kautz ; Sina Honari ; Liuhao Ge ; Junsong Yuan ; Xinghao Chen ; Guijin Wang ; Fan Yang ; Kai Akiyama ; Yang Wu ; Qingfu Wan ; Meysam Madadi ; Sergio Escalera ; Shile Li ; Dongheui Lee ; Iason Oikonomidis ; Antonis Argyros ; Tae-Kyun Kim 
337,1101,SobolevFusion: 3D Reconstruction of Scenes Undergoing Free Non-Rigid Motion,Miroslava Slavcheva ; Maximilian Baust ; Slobodan Ilic 
338,2583,AdaDepth: Unsupervised Content Congruent Adaptation for Depth Estimation,Jogendra Nath Kundu ; Phani Krishna Uppala ; Anuj Pahuja ; R. Venkatesh Babu 
339,1453,Learning to Find Good Correspondences,Kwang Moo Yi ; Eduard Trulls ; Yuki Ono ; Vincent Lepetit ; Mathieu Salzmann ; Pascal Fua 
340,3289,OATM: Occlusion Aware Template Matching by Consensus Set Maximization,Simon Korman ; Mark Milam ; Stefano Soatto 
341,1830,Deep Learning of Graph Matching,Andrei Zanfir ; Cristian Sminchisescu 
342,932,Unsupervised Discovery of Object Landmarks as Structural Representations,Yuting Zhang ; Yijie Guo ; Yixin Jin ; Yijun Luo ; Zhiyuan He ; Honglak Lee 
343,777,Quantization and Training of Neural Networks for Efficient Integer-Arithmetic-Only Inference,Benoit Jacob ; Skirmantas Kligys ; Bo Chen ; Menglong Zhu ; Matthew Tang ; Andrew Howard ; Hartwig Adam ; Dmitry Kalenichenko 
344,1324,Lean Multiclass Crowdsourcing,Grant Van Horn ; Steve Branson ; Scott Loarie ; Serge Belongie ; Pietro Perona 
345,1363,Partial Transfer Learning With Selective Adversarial Networks,Zhangjie Cao ; Mingsheng Long ; Jianmin Wang ; Michael I. Jordan 
346,2485,Self-Supervised Feature Learning by Learning to Spot Artifacts,Simon Jenni ; Paolo Favaro 
347,3254,LDMNet: Low Dimensional Manifold Regularized Neural Networks,Wei Zhu ; Qiang Qiu ; Jiaji Huang ; Robert Calderbank ; Guillermo Sapiro ; Ingrid Daubechies 
348,3656,CondenseNet: An Efficient DenseNet Using Learned Group Convolutions,Gao Huang ; Shichen Liu ; Laurens van der Maaten ; Kilian Q. Weinberger 
349,3673,Learning Deep Descriptors With Scale-Aware Triplet Networks,Michel Keller ; Zetao Chen ; Fabiola Maffra ; Patrik Schmuck ; Margarita Chli 
350,4133,Decoupled Networks,Weiyang Liu ; Zhen Liu ; Zhiding Yu ; Bo Dai ; Rongmei Lin ; Yisen Wang ; James M. Rehg ; Le Song 
351,350,Deep Adversarial Metric Learning,Yueqi Duan ; Wenzhao Zheng ; Xudong Lin ; Jiwen Lu ; Jie Zhou 
352,1248,PU-Net: Point Cloud Upsampling Network,Lequan Yu ; Xianzhi Li ; Chi-Wing Fu ; Daniel Cohen-Or ; Pheng-Ann Heng 
353,1308,Real-Time Monocular Depth Estimation Using Synthetic Data With Domain Adaptation via Image Style Transfer,Amir Atapour-Abarghouei ; Toby P. Breckon 
354,2403,Learning for Disparity Estimation Through Feature Constancy,Zhengfa Liang ; Yiliu Feng ; Yulan Guo ; Hengzhu Liu ; Wei Chen ; Linbo Qiao ; Li Zhou ; Jianfeng Zhang 
355,2703,DeepMVS: Learning Multi-View Stereopsis,Po-Han Huang ; Kevin Matzen ; Johannes Kopf ; Narendra Ahuja ; Jia-Bin Huang 
356,3446,Self-Calibrating Polarising Radiometric Calibration,Daniel Teo ; Boxin Shi ; Yinqiang Zheng ; Sai-Kit Yeung 
357,3531,Coding Kendall's Shape Trajectories for 3D Action Recognition,Amor Ben Tanfous ; Hassen Drira ; Boulbaba Ben Amor 
358,3870,"Efficient, Sparse Representation of Manifold Distance Matrices for Classical Scaling",Javier S. Turek ; Alexander G. Huth 
